created_at,id,id_str,full_text,truncated,display_text_range,entities,extended_entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,handle,text_only,word_count,emojis,sentiment_polarity,flesch_readability_score,media,media_url,media_link,prptn_rts_vs_avg,proportion_favorites_vs_avg
Wed Mar 03 22:00:01 +0000 2021,1367233324930846723,1367233324930846723,"Book FIN for a birthday visit and get @SaveOnFoods birthday add-ons!
🎂 https://t.co/thdUZHyfmF https://t.co/630ww8zLid",False,"[0, 94]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'saveonfoods', 'name': 'Save-On-Foods', 'id': 326375161, 'id_str': '326375161', 'indices': [38, 50]}], 'urls': [{'url': 'https://t.co/thdUZHyfmF', 'expanded_url': 'http://canucks.co/BuWV30ryBls', 'display_url': 'canucks.co/BuWV30ryBls', 'indices': [71, 94]}], 'media': [{'id': 1367195226947788801, 'id_str': '1367195226947788801', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EvlA0LDVIAEHxUT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvlA0LDVIAEHxUT.jpg', 'url': 'https://t.co/630ww8zLid', 'display_url': 'pic.twitter.com/630ww8zLid', 'expanded_url': 'https://twitter.com/Canucks/status/1367233324930846723/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}","{'media': [{'id': 1367195226947788801, 'id_str': '1367195226947788801', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EvlA0LDVIAEHxUT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvlA0LDVIAEHxUT.jpg', 'url': 'https://t.co/630ww8zLid', 'display_url': 'pic.twitter.com/630ww8zLid', 'expanded_url': 'https://twitter.com/Canucks/status/1367233324930846723/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,,,,"{'id': 17093604, 'id_str': '17093604', 'name': 'Vancouver #Canucks', 'screen_name': 'Canucks', 'location': 'Vancouver, BC', 'description': '', 'url': 'https://t.co/IGtYtz5tOU', 'entities': {'url': {'urls': [{'url': 'https://t.co/IGtYtz5tOU', 'expanded_url': 'http://canucks.com', 'display_url': 'canucks.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1068316, 'friends_count': 220, 'listed_count': 7296, 'created_at': 'Fri Oct 31 22:25:36 +0000 2008', 'favourites_count': 5470, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 85508, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '003E7E', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/17093604/1614795377', 'profile_link_color': '020FA1', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'E6EEEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,4,24,False,False,False,en,Canucks,Book FIN for a birthday visit and get birthday add-ons!,10.0,🎂,0.0,78.25,photo,https://pbs.twimg.com/media/EvlA0LDVIAEHxUT.jpg,https://t.co/630ww8zLid,0.46511627906976744,0.22770398481973433
Wed Mar 03 20:30:00 +0000 2021,1367210671948107779,1367210671948107779,"Höglander or Horvat? 🤔 
Cast your vote for #Canucks Goal of the Year at https://t.co/CgPqnZKxX4 for your chance to win a @BudweiserCanada Red Light! 🚨 https://t.co/QyS9Zsa2dN",False,"[0, 150]","{'hashtags': [{'text': 'Canucks', 'indices': [43, 51]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BudweiserCanada', 'name': 'Budweiser Canada', 'id': 278671733, 'id_str': '278671733', 'indices': [121, 137]}], 'urls': [{'url': 'https://t.co/CgPqnZKxX4', 'expanded_url': 'http://canucks.com/budgoaloftheyear', 'display_url': 'canucks.com/budgoaloftheye…', 'indices': [72, 95]}], 'media': [{'id': 1367192499505176577, 'id_str': '1367192499505176577', 'indices': [151, 174], 'media_url': 'http://pbs.twimg.com/media/Evk-v0GVEAARCYY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Evk-v0GVEAARCYY.jpg', 'url': 'https://t.co/QyS9Zsa2dN', 'display_url': 'pic.twitter.com/QyS9Zsa2dN', 'expanded_url': 'https://twitter.com/Canucks/status/1367210671948107779/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}","{'media': [{'id': 1367192499505176577, 'id_str': '1367192499505176577', 'indices': [151, 174], 'media_url': 'http://pbs.twimg.com/media/Evk-v0GVEAARCYY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Evk-v0GVEAARCYY.jpg', 'url': 'https://t.co/QyS9Zsa2dN', 'display_url': 'pic.twitter.com/QyS9Zsa2dN', 'expanded_url': 'https://twitter.com/Canucks/status/1367210671948107779/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 25058, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1367192499505176577/vid/640x360/AZGO-tD-q5yFE8jT.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1367192499505176577/vid/480x270/tDh7b5PnV7Xl3ZPT.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1367192499505176577/vid/1280x720/i4VXx6-B91DuW55o.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1367192499505176577/pl/kIpEnTlT-dJaC2yD.m3u8?tag=13'}]}, 'additional_media_info': {'title': '', 'description': '', 'embeddable': True, 'monetizable': False}}]}","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,,,,"{'id': 17093604, 'id_str': '17093604', 'name': 'Vancouver #Canucks', 'screen_name': 'Canucks', 'location': 'Vancouver, BC', 'description': '', 'url': 'https://t.co/IGtYtz5tOU', 'entities': {'url': {'urls': [{'url': 'https://t.co/IGtYtz5tOU', 'expanded_url': 'http://canucks.com', 'display_url': 'canucks.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1068316, 'friends_count': 220, 'listed_count': 7296, 'created_at': 'Fri Oct 31 22:25:36 +0000 2008', 'favourites_count': 5470, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 85508, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '003E7E', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/17093604/1614795377', 'profile_link_color': '020FA1', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'E6EEEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,2,74,False,False,False,en,Canucks,Höglander or Horvat? Cast your vote for Goal of the Year at for your chance to win a Red Light!,20.0,🤔🚨,0.7263,95.17,photo,https://pbs.twimg.com/media/Evk-v0GVEAARCYY.jpg,https://t.co/QyS9Zsa2dN,0.23255813953488372,0.7020872865275142
Wed Mar 03 18:52:17 +0000 2021,1367186082022846466,1367186082022846466,"Bid now on autographed, player-worn #HockeyFightsCancer warm-up jerseys! Proceeds from the auction will support oncology research at BC Children's Hospital.",False,"[0, 156]","{'hashtags': [{'text': 'HockeyFightsCancer', 'indices': [36, 55]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers (legacy)</a>",,,,,,"{'id': 17093604, 'id_str': '17093604', 'name': 'Vancouver #Canucks', 'screen_name': 'Canucks', 'location': 'Vancouver, BC', 'description': '', 'url': 'https://t.co/IGtYtz5tOU', 'entities': {'url': {'urls': [{'url': 'https://t.co/IGtYtz5tOU', 'expanded_url': 'http://canucks.com', 'display_url': 'canucks.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1068316, 'friends_count': 220, 'listed_count': 7296, 'created_at': 'Fri Oct 31 22:25:36 +0000 2008', 'favourites_count': 5470, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 85508, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '003E7E', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/17093604/1614795377', 'profile_link_color': '020FA1', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'E6EEEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,10,84,False,False,,en,Canucks,"Bid now on autographed, player-worn warm-up jerseys! Proceeds from the auction will support oncology research at BC Children's Hospital.",19.0,,0.4574,44.91,,,,1.1627906976744187,0.7969639468690701
Wed Mar 03 04:04:05 +0000 2021,1366962559325069317,1366962559325069317,"The #Canucks split their two-game series with the Jets losing 5-2 in the second of back-to-back games.

@budweisercanada Highlights | https://t.co/23O3cVBio7 https://t.co/qYNVsQYo5L",False,"[0, 157]","{'hashtags': [{'text': 'Canucks', 'indices': [4, 12]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BudweiserCanada', 'name': 'Budweiser Canada', 'id': 278671733, 'id_str': '278671733', 'indices': [104, 120]}], 'urls': [{'url': 'https://t.co/23O3cVBio7', 'expanded_url': 'http://canucks.co/KSHD30rz7bL', 'display_url': 'canucks.co/KSHD30rz7bL', 'indices': [134, 157]}], 'media': [{'id': 1366961836923363333, 'id_str': '1366961836923363333', 'indices': [158, 181], 'media_url': 'http://pbs.twimg.com/media/EvhtDZ-VEAIGtD1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvhtDZ-VEAIGtD1.jpg', 'url': 'https://t.co/qYNVsQYo5L', 'display_url': 'pic.twitter.com/qYNVsQYo5L', 'expanded_url': 'https://twitter.com/Canucks/status/1366962559325069317/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}","{'media': [{'id': 1366961836923363333, 'id_str': '1366961836923363333', 'indices': [158, 181], 'media_url': 'http://pbs.twimg.com/media/EvhtDZ-VEAIGtD1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvhtDZ-VEAIGtD1.jpg', 'url': 'https://t.co/qYNVsQYo5L', 'display_url': 'pic.twitter.com/qYNVsQYo5L', 'expanded_url': 'https://twitter.com/Canucks/status/1366962559325069317/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 21622, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1366961836923363333/vid/640x360/F-cDqYlc-GBA600B.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1366961836923363333/vid/480x270/J8M0hfmxSAeP8Cgw.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1366961836923363333/pl/yeRB1PjR0T7Te8Ws.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1366961836923363333/vid/1280x720/w6CVYhVFmdCBYcSd.mp4?tag=13'}]}, 'additional_media_info': {'title': 'Bud Highlights 03.02.21', 'description': '', 'embeddable': True, 'monetizable': False}}]}","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,,,,"{'id': 17093604, 'id_str': '17093604', 'name': 'Vancouver #Canucks', 'screen_name': 'Canucks', 'location': 'Vancouver, BC', 'description': '', 'url': 'https://t.co/IGtYtz5tOU', 'entities': {'url': {'urls': [{'url': 'https://t.co/IGtYtz5tOU', 'expanded_url': 'http://canucks.com', 'display_url': 'canucks.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1068316, 'friends_count': 220, 'listed_count': 7296, 'created_at': 'Fri Oct 31 22:25:36 +0000 2008', 'favourites_count': 5470, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 85508, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '003E7E', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/17093604/1614795377', 'profile_link_color': '020FA1', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'E6EEEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,13,59,False,False,False,en,Canucks,The split their two-game series with the Jets losing 5-2 in the second of back-to-back games. Highlights |,18.0,,-0.3818,71.14,photo,https://pbs.twimg.com/media/EvhtDZ-VEAIGtD1.jpg,https://t.co/qYNVsQYo5L,1.5116279069767442,0.5597722960151802
Wed Mar 03 03:40:34 +0000 2021,1366956639694163969,1366956639694163969,"“We need to win, we’re not in a position to split a two-game series. We have to win games right now, we want to be in the playoffs and we’re on the outside looking in. We’re not in a position to not bring our best. No excuses, we need to be better.” - Miller",False,"[0, 258]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 17093604, 'id_str': '17093604', 'name': 'Vancouver #Canucks', 'screen_name': 'Canucks', 'location': 'Vancouver, BC', 'description': '', 'url': 'https://t.co/IGtYtz5tOU', 'entities': {'url': {'urls': [{'url': 'https://t.co/IGtYtz5tOU', 'expanded_url': 'http://canucks.com', 'display_url': 'canucks.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1068316, 'friends_count': 220, 'listed_count': 7296, 'created_at': 'Fri Oct 31 22:25:36 +0000 2008', 'favourites_count': 5470, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 85508, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '003E7E', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1367177017163014144/Lv6nfBEP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/17093604/1614795377', 'profile_link_color': '020FA1', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'E6EEEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,14,286,False,False,,en,Canucks,"“We need to win, we’re not in a position to split a two-game series. We have to win games right now, we want to be in the playoffs and we’re on the outside looking in. We’re not in a position to not bring our best. No excuses, we need to be better.” - Miller",54.0,,0.5158,91.82,,,,1.627906976744186,2.713472485768501
